Date,PX_LAST,PX_VOLUME
1/11/2001,132.25,7245300
1/12/2001,132,7244000
1/16/2001,132.8438,8542200
1/17/2001,133.4531,7851400
1/18/2001,134.7813,8107000
1/19/2001,134.0156,7782500
1/22/2001,134.9063,7050900
1/23/2001,135.9688,8463100
1/24/2001,136.375,6199900
1/25/2001,136.0313,10818300
1/26/2001,135.875,7136800
1/29/2001,136.6,6705900
1/30/2001,137.8,7069100
1/31/2001,137.02,9706900
2/1/2001,137.93,8239600
2/2/2001,134.8,8276700
2/5/2001,135.79,4352900
2/6/2001,135.39,7106700
2/7/2001,134.69,5748700
2/8/2001,133.12,5943300
2/9/2001,131.84,9913000
2/12/2001,133.35,5804400
2/13/2001,132.26,6587600
2/14/2001,132.06,8400100
2/15/2001,133.34,5929800
2/16/2001,130.4,6434900
2/20/2001,128.39,5760000
2/21/2001,125.62,10910800
2/22/2001,125.81,21281600
2/23/2001,124.96,20173000
2/26/2001,127.62,11503700
2/27/2001,126.44,11415200
2/28/2001,123.95,14831100
3/1/2001,124.6,14672000
3/2/2001,123.61,12564300
3/5/2001,124.74,5293200
3/6/2001,126.08,6917000
3/7/2001,126.98,6371700
3/8/2001,127.12,6055000
3/9/2001,123.36,10020300
3/12/2001,118.08,13973100
3/13/2001,120.02,12888000
3/14/2001,117.65,19883400
3/15/2001,117.68,10370300
3/16/2001,115.01,58515700
3/19/2001,117.35,10067800
3/20/2001,114.2,15086900
3/21/2001,112.26,19004700
3/22/2001,111.12,28626600
3/23/2001,114.48,12861700
3/26/2001,115.94,9944800
3/27/2001,118.31,12882000
3/28/2001,115.04,10953300
3/29/2001,115.48,12061600
3/30/2001,116.69,9183600
4/2/2001,114.2,10561000
4/3/2001,110.39,12838000
4/4/2001,110.85,14887300
4/5/2001,115.05,21528500
4/6/2001,113.3,14937800
4/9/2001,114.56,9036900
4/10/2001,116.65,17877100
4/11/2001,116.73,12735100
4/12/2001,118.85,9233200
4/16/2001,117.6,7351000
4/17/2001,119.26,10927400
4/18/2001,124,32495000
4/19/2001,125.65,13810800
4/20/2001,124.5,7626700
4/23/2001,122.24,8451800
4/24/2001,121.58,10046800
4/25/2001,123.17,8249000
4/26/2001,123.72,10590700
4/27/2001,125.78,8048900
4/30/2001,124.91,10766900
5/1/2001,127.05,10578300
5/2/2001,126.82,9572900
5/3/2001,125.21,9926200
5/4/2001,127.34,12145300
5/7/2001,126.24,7185200
5/8/2001,126.18,6952900
5/9/2001,125.65,9507400
5/10/2001,126.02,6872400
5/11/2001,125.15,7739400
5/14/2001,125.4,7914000
5/15/2001,125.98,9782500
5/16/2001,128.95,14916200
5/17/2001,129.15,11828900
5/18/2001,129.74,6683300
5/21/2001,131.65,11532100
5/22/2001,131.48,8343200
5/23/2001,129.25,12331000
5/24/2001,129.63,7906300
5/25/2001,128.1,7425000
5/29/2001,127.08,9012300
5/30/2001,125.3,10041800
5/31/2001,125.95,9875200
6/1/2001,126.73,8848300
6/4/2001,127.34,5634700
6/5/2001,128.8,9115900
6/6/2001,127.73,12067600
6/7/2001,128.19,7358900
6/8/2001,127,8170600
6/11/2001,126.1,7012200
6/12/2001,125.88,9369200
